TaxonName,RBL,IUCN,Percent_vert,Percent_nonvert,Diet,Diet_diversity,Body_size,Diet_breadth,Museum_Pub,N,Notes,Invert,Scav,Fruit,Nect,Seed,Plant,Vert,Diet_old,Diet_vert
Conepatus_humboldtii,0.40871212,LC,10,90,hypo,3,328,,ADW image,1,measured from ADW image,1,0,1,0,0,0,1,Invert,hypo
Hemigalus_derbyanus,0.419,NT,0,100,hypo,1,2322.5,,Friscia2007,3,,1,0,0,0,0,0,0,Invert,hypo
Chrotogale_owstoni,0.4244728,EN,10,90,hypo,3,3250,,Slater&Friscia2019,U,,1,0,1,0,0,0,1,Invert,hypo
Bassaricyon_neblina,0.4523967,NT,10,NA,hypo,0,NA,****,Slater&Friscia2019,U,diet presumed from other members of genus & Handbook of the Mammals of the World,,,,,,,,Omn,hypo
Bassaricyon_alleni,0.4560111,LC,10,90,hypo,3,1235.01,,Slater&Friscia2019,U,,1,0,1,0,0,0,1,Omn,hypo
Nasuella_olivacea,0.471,NT,20,80,hypo,3,1339.99,,Friscia2007,1,,1,0,1,0,0,0,1,Omn,hypo
Diplogale_hosei,0.4778862,VU,40,60,hypo,2,3124.89,,Slater&Friscia2019,U,,1,0,0,0,0,0,1,Invert,meso
Bdeogale_nigripes,0.478,LC,40,60,hypo,2,2500,,Friscia2007,10,,1,0,0,0,0,0,1,Invert,meso
Helarctos_malayanus,0.479,VU,20,80,hypo,4,46500,,Wroe2008,U,,1,0,1,0,1,0,1,Omn,hypo
Ursus_arctos,0.48,LC,10,90,hypo,4,180520.42,,VV1989,2,,1,0,1,0,0,1,1,Plant,hypo
Ursus_americanus,0.48,LC,20,80,hypo,3,99949.36,,VV1989,2,"Used VV 1989, Slater 2019 does not seem to have sample size",0,0,1,0,0,1,1,Plant,hypo
Bassaricyon_medius,0.4816477,LC,10,NA,hypo,0,NA,****,Slater&Friscia2019,U,diet presumed from other members of genus & Handbook of the Mammals of the World,,,,,,,,Omn,hypo
Crossarchus_obscurus,0.485,LC,20,80,hypo,3,1250,,Friscia2007,9,,1,0,1,0,0,0,1,Invert,hypo
